#File containing charge calibration histograms for the LS and event number stated in the filename
#Below is the charge histogram data for all PMTs in the double-liner tanks
#PMTs 1 and 3 are the upper PMTs while PMT 2 is the lower PMT
#PMT 4 is the combined histogram (the sum of PMT 1, 2, and 3 histograms) - not useful here...
#All PMT charge histogram data listed in this file has the following form:
#NumEntries, BinCenter
#Units are:
#[unitless], [ADC counts * time]
#NOTE: The large bins here are not scaled w.r.t. bin size like they are in CDAS. Keep this in mind for future analyses...
#PMT 1
 9, 965.5
 29, 966.5
 71, 967.5
 129, 968.5
 216, 969.5
 340, 970.5
 555, 971.5
 703, 972.5
 900, 973.5
 1056, 974.5
 1181, 975.5
 1349, 976.5
 1393, 977.5
 1472, 978.5
 1566, 979.5
 1590, 980.5
 1577, 981.5
 1509, 982.5
 1594, 983.5
 1616, 984.5
 1569, 985.5
 1567, 986.5
 1499, 987.5
 1497, 988.5
 1484, 989.5
 1412, 990.5
 1417, 991.5
 1403, 992.5
 1354, 993.5
 1325, 994.5
 1335, 995.5
 1302, 996.5
 1219, 997.5
 1262, 998.5
 1207, 999.5
 1259, 1000.5
 1139, 1001.5
 1133, 1002.5
 1038, 1003.5
 1061, 1004.5
 973, 1005.5
 986, 1006.5
 925, 1007.5
 947, 1008.5
 908, 1009.5
 878, 1010.5
 902, 1011.5
 802, 1012.5
 775, 1013.5
 806, 1014.5
 771, 1015.5
 743, 1016.5
 761, 1017.5
 698, 1018.5
 716, 1019.5
 683, 1020.5
 683, 1021.5
 660, 1022.5
 648, 1023.5
 637, 1024.5
 616, 1025.5
 598, 1026.5
 598, 1027.5
 579, 1028.5
 590, 1029.5
 498, 1030.5
 543, 1031.5
 535, 1032.5
 522, 1033.5
 497, 1034.5
 459, 1035.5
 491, 1036.5
 506, 1037.5
 506, 1038.5
 505, 1039.5
 450, 1040.5
 498, 1041.5
 428, 1042.5
 427, 1043.5
 389, 1044.5
 449, 1045.5
 403, 1046.5
 386, 1047.5
 410, 1048.5
 387, 1049.5
 373, 1050.5
 366, 1051.5
 340, 1052.5
 345, 1053.5
 391, 1054.5
 342, 1055.5
 342, 1056.5
 343, 1057.5
 306, 1058.5
 278, 1059.5
 338, 1060.5
 284, 1061.5
 306, 1062.5
 298, 1063.5
 283, 1064.5
 306, 1065.5
 276, 1066.5
 264, 1067.5
 257, 1068.5
 289, 1069.5
 270, 1070.5
 252, 1071.5
 256, 1072.5
 228, 1073.5
 252, 1074.5
 215, 1075.5
 222, 1076.5
 253, 1077.5
 237, 1078.5
 214, 1079.5
 207, 1080.5
 219, 1081.5
 225, 1082.5
 209, 1083.5
 221, 1084.5
 195, 1085.5
 193, 1086.5
 167, 1087.5
 211, 1088.5
 200, 1089.5
 179, 1090.5
 180, 1091.5
 179, 1092.5
 189, 1093.5
 191, 1094.5
 175, 1095.5
 178, 1096.5
 167, 1097.5
 192, 1098.5
 154, 1099.5
 167, 1100.5
 161, 1101.5
 166, 1102.5
 154, 1103.5
 144, 1104.5
 154, 1105.5
 131, 1106.5
 156, 1107.5
 158, 1108.5
 153, 1109.5
 145, 1110.5
 143, 1111.5
 143, 1112.5
 134, 1113.5
 121, 1114.5
 150, 1115.5
 140, 1116.5
 136, 1117.5
 152, 1118.5
 118, 1119.5
 135, 1120.5
 114, 1121.5
 149, 1122.5
 129, 1123.5
 120, 1124.5
 117, 1125.5
 106, 1126.5
 115, 1127.5
 134, 1128.5
 135, 1129.5
 106, 1130.5
 111, 1131.5
 128, 1132.5
 108, 1133.5
 110, 1134.5
 100, 1135.5
 112, 1136.5
 120, 1137.5
 99, 1138.5
 89, 1139.5
 100, 1140.5
 92, 1141.5
 95, 1142.5
 98, 1143.5
 90, 1144.5
 94, 1145.5
 93, 1146.5
 98, 1147.5
 104, 1148.5
 90, 1149.5
 97, 1150.5
 103, 1151.5
 81, 1152.5
 87, 1153.5
 92, 1154.5
 76, 1155.5
 84, 1156.5
 89, 1157.5
 84, 1158.5
 89, 1159.5
 72, 1160.5
 71, 1161.5
 80, 1162.5
 86, 1163.5
 72, 1164.5
 72, 1165.5
 82, 1166.5
 62, 1167.5
 64, 1168.5
 72, 1169.5
 52, 1170.5
 81, 1171.5
 74, 1172.5
 62, 1173.5
 63, 1174.5
 67, 1175.5
 53, 1176.5
 47, 1177.5
 66, 1178.5
 52, 1179.5
 59, 1180.5
 68, 1181.5
 53, 1182.5
 44, 1183.5
 53, 1184.5
 43, 1185.5
 53, 1186.5
 49, 1187.5
 59, 1188.5
 55, 1189.5
 58, 1190.5
 51, 1191.5
 41, 1192.5
 45, 1193.5
 58, 1194.5
 60, 1195.5
 47, 1196.5
 46, 1197.5
 38, 1198.5
 45, 1199.5
 41, 1200.5
 37, 1201.5
 61, 1202.5
 41, 1203.5
 44, 1204.5
 48, 1205.5
 42, 1206.5
 38, 1207.5
 41, 1208.5
 32, 1209.5
 37, 1210.5
 45, 1211.5
 42, 1212.5
 42, 1213.5
 46, 1214.5
 44, 1215.5
 29, 1216.5
 36, 1217.5
 30, 1218.5
 40, 1219.5
 38, 1220.5
 31, 1221.5
 37, 1222.5
 34, 1223.5
 36, 1224.5
 37, 1225.5
 36, 1226.5
 30, 1227.5
 38, 1228.5
 33, 1229.5
 27, 1230.5
 31, 1231.5
 31, 1232.5
 42, 1233.5
 23, 1234.5
 31, 1235.5
 28, 1236.5
 23, 1237.5
 29, 1238.5
 39, 1239.5
 39, 1240.5
 27, 1241.5
 24, 1242.5
 24, 1243.5
 27, 1244.5
 24, 1245.5
 25, 1246.5
 27, 1247.5
 24, 1248.5
 29, 1249.5
 20, 1250.5
 19, 1251.5
 26, 1252.5
 28, 1253.5
 20, 1254.5
 21, 1255.5
 25, 1256.5
 22, 1257.5
 24, 1258.5
 18, 1259.5
 17, 1260.5
 18, 1261.5
 18, 1262.5
 18, 1263.5
 21, 1264.5
 20, 1265.5
 19, 1266.5
 25, 1267.5
 22, 1268.5
 22, 1269.5
 20, 1270.5
 14, 1271.5
 15, 1272.5
 24, 1273.5
 14, 1274.5
 17, 1275.5
 15, 1276.5
 13, 1277.5
 13, 1278.5
 11, 1279.5
 24, 1280.5
 14, 1281.5
 20, 1282.5
 19, 1283.5
 15, 1284.5
 12, 1285.5
 17, 1286.5
 11, 1287.5
 13, 1288.5
 22, 1289.5
 21, 1290.5
 12, 1291.5
 20, 1292.5
 9, 1293.5
 13, 1294.5
 19, 1295.5
 16, 1296.5
 15, 1297.5
 22, 1298.5
 13, 1299.5
 14, 1300.5
 12, 1301.5
 17, 1302.5
 21, 1303.5
 7, 1304.5
 4, 1305.5
 15, 1306.5
 7, 1307.5
 12, 1308.5
 15, 1309.5
 7, 1310.5
 11, 1311.5
 11, 1312.5
 12, 1313.5
 11, 1314.5
 11, 1315.5
 6, 1316.5
 9, 1317.5
 7, 1318.5
 13, 1319.5
 6, 1320.5
 14, 1321.5
 22, 1322.5
 10, 1323.5
 16, 1324.5
 10, 1325.5
 9, 1326.5
 9, 1327.5
 11, 1328.5
 19, 1329.5
 13, 1330.5
 11, 1331.5
 7, 1332.5
 12, 1333.5
 6, 1334.5
 5, 1335.5
 9, 1336.5
 10, 1337.5
 13, 1338.5
 2, 1339.5
 8, 1340.5
 9, 1341.5
 3, 1342.5
 9, 1343.5
 13, 1344.5
 10, 1345.5
 10, 1346.5
 9, 1347.5
 9, 1348.5
 9, 1349.5
 7, 1350.5
 10, 1351.5
 3, 1352.5
 15, 1353.5
 4, 1354.5
 11, 1355.5
 12, 1356.5
 9, 1357.5
 8, 1358.5
 10, 1359.5
 3, 1360.5
 7, 1361.5
 3, 1362.5
 8, 1363.5
 9, 1364.5
 24, 1366.5
 22, 1369.5
 22, 1372.5
 27, 1375.5
 18, 1378.5
 26, 1381.5
 24, 1384.5
 20, 1387.5
 19, 1390.5
 21, 1393.5
 11, 1396.5
 21, 1399.5
 19, 1402.5
 11, 1405.5
 17, 1408.5
 15, 1411.5
 20, 1414.5
 9, 1417.5
 14, 1420.5
 17, 1423.5
 14, 1426.5
 13, 1429.5
 9, 1432.5
 14, 1435.5
 11, 1438.5
 16, 1441.5
 11, 1444.5
 13, 1447.5
 9, 1450.5
 16, 1453.5
 11, 1456.5
 6, 1459.5
 12, 1462.5
 11, 1465.5
 7, 1468.5
 11, 1471.5
 11, 1474.5
 4, 1477.5
 4, 1480.5
 11, 1483.5
 6, 1486.5
 9, 1489.5
 10, 1492.5
 7, 1495.5
 6, 1498.5
 13, 1501.5
 4, 1504.5
 10, 1507.5
 8, 1510.5
 4, 1513.5
 8, 1516.5
 6, 1519.5
 3, 1522.5
 8, 1525.5
 6, 1528.5
 6, 1531.5
 11, 1534.5
 4, 1537.5
 9, 1540.5
 9, 1543.5
 7, 1546.5
 4, 1549.5
 7, 1552.5
 4, 1555.5
 3, 1558.5
 6, 1561.5
 6, 1564.5
 7, 1567.5
 5, 1570.5
 5, 1573.5
 2, 1576.5
 7, 1579.5
 4, 1582.5
 4, 1585.5
 3, 1588.5
 5, 1591.5
 5, 1594.5
 6, 1597.5
 6, 1600.5
 4, 1603.5
 4, 1606.5
 3, 1609.5
 3, 1612.5
 5, 1615.5
 3, 1618.5
 4, 1621.5
 4, 1624.5
 7, 1627.5
 4, 1630.5
 2, 1633.5
 1, 1636.5
 3, 1639.5
 4, 1642.5
 3, 1645.5
 4, 1648.5
 1, 1651.5
 5, 1654.5
 4, 1657.5
 1, 1660.5
 4, 1663.5
 4, 1666.5
 2, 1669.5
 5, 1672.5
 5, 1675.5
 1, 1678.5
 0, 1681.5
 3, 1684.5
 3, 1687.5
 3, 1690.5
 1, 1693.5
 1, 1696.5
 1, 1699.5
 2, 1702.5
 2, 1705.5
 1, 1708.5
 1, 1711.5
 1, 1714.5
 0, 1717.5
 3, 1720.5
 0, 1723.5
 3, 1726.5
 0, 1729.5
 1, 1732.5
 1, 1735.5
 4, 1738.5
 1, 1741.5
